num_of_points,plain,multiprocess,vectorized
100,0.0009822845458984375,1.2919995784759521,0.0
1000,0.0059986114501953125,1.3050012588500977,0.0
10000,0.0590054988861084,1.3896329402923584,0.0
100000,0.5809972286224365,1.5259974002838135,0.009999990463256836
200000,1.1649959087371826,1.7048096656799316,0.011998653411865234
500000,2.9092836380004883,2.045832872390747,0.03499937057495117
1000000,5.733527660369873,2.8229997158050537,0.0820014476776123
2000000,11.681270360946655,3.772000551223755,0.14764904975891113
5000000,28.37055778503418,7.534966945648193,0.3110530376434326
10000000,56.45415163040161,13.736613512039185,0.6302525997161865
25000000,142.6121015548706,31.305206537246704,1.506993293762207
50000000,277.3184885978699,62.81650900840759,3.3070008754730225
